city,name,address,phone,mon_pt,tue_pt,wed_pt,thu_pt,fri_pt,sat_pt,sun_pt,mon_en,tue_en,wed_en,thu_en,fri_en,sat_en,sun_en
Cascais,Olguinhas Cascais,"Av. Dr. Manuel Ricardo Espírito Santo Silva 60 loja 05, 2745-748 Cascais",+351 939 514 091,10h30–19h,10h30–19h,10h30–19h,10h30–19h,10h30–19h,10h30–18h,Encerrado,10:30am–7pm,10:30am–7pm,10:30am–7pm,10:30am–7pm,10:30am–7pm,10:30am–6pm,Closed
Estoril,Olguinhas Estoril,"R. António Gedeão 102 Store 01, 2645-595 Alcabideche",+351 911 194 551,10h30–18h,10h30–18h,10h30–18h,10h30–18h,10h30–18h,Encerrado,Encerrado,10:30am–6pm,10:30am–6pm,10:30am–6pm,10:30am–6pm,10:30am–6pm,Closed,Closed
Páteo Bagatela,Olguinhas Páteo Bagatela,"Passeio de Páteo Bagatela, 1250-020 Lisboa",+351 913 037 472,11h00–19h,11h00–19h,11h00–19h,11h00–19h,11h00–19h,10h30–15h,Encerrado,11:00am–7pm,11:00am–7pm,11:00am–7pm,11:00am–7pm,11:00am–7pm,10:30am–15pm,Closed
